time,strain,strain_rate,stress
0,3.31E-05,4.90E-05,-21914.83459
0.901803607,3.59E-05,4.98E-05,4208.483126
1.803607214,0.000133369,4.88E-05,10413.57828
2.705410822,0.000236827,4.95E-05,26863.16647
3.607214429,0.000164747,4.72E-05,-14953.56788
4.509018036,0.000209839,5.03E-05,39600.05964
5.410821643,0.000375844,5.00E-05,-39292.40879
6.312625251,0.000366804,4.88E-05,18096.46619
7.214428858,0.000329417,5.10E-05,26387.70529
8.116232465,0.00044199,5.14E-05,59508.60616
9.018036072,0.000420001,4.76E-05,48623.69845
9.919839679,0.000464937,4.89E-05,16950.27423
10.82164329,0.000557216,4.88E-05,32156.47055
11.72344689,0.000458594,4.86E-05,66689.3816
12.6252505,0.000516244,5.12E-05,64092.58869
13.52705411,0.000638859,4.97E-05,55814.18071
14.42885772,0.000653907,4.96E-05,62682.17321
15.33066132,0.000787487,4.70E-05,96888.21396
16.23246493,0.000751076,5.10E-05,70377.412
17.13426854,0.00076254,4.81E-05,85538.30474
18.03607214,0.000999534,5.01E-05,147065.5008
18.93787575,0.000931839,5.04E-05,60044.70382
19.83967936,0.000996487,5.20E-05,53323.79394
20.74148297,0.000942071,4.80E-05,124317.8041
21.64328657,0.001045865,4.55E-05,91279.59701
22.54509018,0.001134651,5.03E-05,104462.4594
23.44689379,0.001095596,5.27E-05,96714.12387
24.34869739,0.001242487,5.19E-05,113910.4614
25.250501,0.001222474,5.03E-05,165003.2339
26.15230461,0.001288165,4.93E-05,148685.5787
27.05410822,0.001312583,5.12E-05,154070.8256
27.95591182,0.001521306,4.85E-05,100071.2503
28.85771543,0.001441986,5.07E-05,110590.5047
29.75951904,0.001417447,5.08E-05,71510.45878
30.66132265,0.001587914,5.16E-05,126747.618
31.56312625,0.00149675,5.41E-05,175261.4158
32.46492986,0.001637174,5.06E-05,167759.8554
33.36673347,0.001537665,4.92E-05,152644.984
34.26853707,0.001624863,5.00E-05,161295.4059
35.17034068,0.001771644,4.73E-05,147940.6381
36.07214429,0.001852849,4.90E-05,174151.7767
36.9739479,0.001860124,4.94E-05,191892.3781
37.8757515,0.001886076,4.92E-05,134913.715
38.77755511,0.0019188,5.02E-05,186966.6272
39.67935872,0.001885379,4.88E-05,206433.8934
40.58116232,0.001981059,5.17E-05,175611.8436
41.48296593,0.002043433,5.00E-05,207277.5411
42.38476954,0.002189728,5.00E-05,264245.9809
43.28657315,0.002187241,4.95E-05,193452.4315
44.18837675,0.002091858,5.02E-05,209341.7627
45.09018036,0.002276119,5.12E-05,183859.0575
45.99198397,0.002273922,4.87E-05,210392.317
46.89378758,0.002299552,4.90E-05,220647.2018
47.79559118,0.002430566,4.95E-05,217056.2654
48.69739479,0.002503617,4.80E-05,189349.8208
49.5991984,0.002542058,4.88E-05,223556.2978
50.501002,0.002469091,4.93E-05,258491.1591
51.40280561,0.002549522,5.13E-05,235803.3652
52.30460922,0.002637319,5.04E-05,251840.6207
53.20641283,0.00272537,5.03E-05,224393.0675
54.10821643,0.002673459,5.13E-05,252395.9744
55.01002004,0.002738121,4.98E-05,243381.337
55.91182365,0.00272182,5.06E-05,215064.0785
56.81362725,0.002760918,4.98E-05,250159.4329
57.71543086,0.002939951,5.04E-05,219759.7435
58.61723447,0.003021296,4.91E-05,231693.7096
59.51903808,0.00297115,4.63E-05,255363.2511
60.42084168,0.003087958,4.98E-05,260879.8151
61.32264529,0.003090246,5.21E-05,225907.329
62.2244489,0.003068206,5.14E-05,285567.4546
63.12625251,0.003180411,5.15E-05,276039.9662
64.02805611,0.00330396,5.19E-05,246318.2955
64.92985972,0.003244104,5.01E-05,227838.2687
65.83166333,0.003395914,5.03E-05,265817.2779
